                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.89889,                 1.4265,                0.80692,                 1.0853,                0.75903,                0.65516,                0.75612,                0.53101,                0.75767,                0.62485,                0.72271,                0.43443,                0.94892,                 0.7706,                 4.2107,                  1.132,               0.007393,               0.007393,               0.007393
                     81,                0.90903,                 1.4312,                0.80905,                 1.0817,                0.76099,                0.65461,                0.75637,                0.53139,                0.75657,                0.62761,                0.72404,                0.43512,                0.94913,                0.77035,                 4.2015,                 1.1316,                0.00736,                0.00736,                0.00736
                     82,                0.90304,                 1.4269,                0.81179,                 1.0831,                0.75924,                 0.6559,                 0.7561,                0.53158,                 0.7544,                0.62744,                0.72319,                 0.4345,                0.94843,                0.77057,                 4.1995,                 1.1319,               0.007327,               0.007327,               0.007327
                     83,                0.91174,                 1.4351,                0.80835,                 1.0819,                0.75657,                0.65827,                0.75669,                0.53179,                0.75518,                 0.6277,                0.72375,                0.43461,                0.94896,                 0.7706,                 4.1792,                 1.1319,               0.007294,               0.007294,               0.007294
                     84,                 0.9039,                 1.4324,                0.80119,                 1.0815,                0.75873,                0.65682,                0.75648,                0.53161,                0.75506,                0.62917,                0.72368,                0.43454,                0.94855,                0.77063,                 4.1694,                 1.1313,               0.007261,               0.007261,               0.007261
                     85,                0.90542,                 1.4339,                0.80317,                 1.0815,                0.75741,                0.65703,                0.75675,                0.53117,                0.75259,                0.62744,                0.72243,                0.43428,                0.94891,                0.77099,                 4.1634,                 1.1314,               0.007228,               0.007228,               0.007228
                     86,                0.90674,                 1.4315,                0.80546,                 1.0834,                0.75594,                0.65708,                 0.7565,                0.53095,                0.75355,                 0.6291,                0.72338,                0.43454,                0.94919,                0.77146,                 4.1549,                 1.1326,               0.007195,               0.007195,               0.007195
                     87,                0.89863,                 1.4331,                0.80393,                 1.0814,                0.75756,                0.65651,                0.75679,                0.53132,                0.75421,                  0.629,                0.72357,                0.43492,                0.94971,                0.77162,                 4.1368,                 1.1337,               0.007162,               0.007162,               0.007162
                     88,                0.90645,                 1.4311,                0.80701,                 1.0826,                0.75768,                0.65651,                0.75665,                0.53152,                0.75441,                0.62762,                0.72358,                0.43543,                0.95002,                0.77131,                 4.1405,                 1.1344,               0.007129,               0.007129,               0.007129
                     89,                0.90752,                 1.4296,                0.81285,                 1.0828,                0.75806,                0.65604,                0.75587,                0.53138,                0.76072,                0.62381,                0.72398,                0.43596,                0.95029,                0.77095,                 4.1472,                 1.1351,               0.007096,               0.007096,               0.007096
