                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.5024,                 2.2389,                  1.156,                 1.2623,                0.56481,                0.42815,                0.46811,                0.22166,                0.51657,                 0.3823,                0.40035,                0.15636,                 1.7942,                 3.1123,                 1.3447,                  1.242,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.5279,                 2.3052,                 1.1307,                 1.2383,                0.59401,                0.49096,                0.54216,                0.25388,                0.55714,                0.44357,                 0.4839,                0.18684,                 1.7361,                 2.4554,                 1.2354,                 1.2097,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.4821,                 2.2685,                 1.1334,                 1.2424,                0.61643,                0.40889,                0.43282,                0.21392,                0.58731,                0.36222,                0.38813,                0.16551,                 1.8003,                 2.6189,                 1.3943,                 1.2362,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.4818,                 2.2534,                   1.13,                  1.237,                0.60644,                0.43602,                0.47989,                0.23705,                0.56709,                0.39185,                0.42122,                0.16317,                 1.7211,                 2.4747,                 1.3386,                 1.2138,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.4915,                 2.2651,                 1.1363,                 1.2367,                0.58198,                0.46074,                0.50648,                0.24424,                0.55167,                0.42667,                0.46089,                0.18745,                 1.7528,                 2.7982,                 1.3174,                 1.2179,               0.001505,               0.001505,               0.001505
                     77,                 1.5194,                 2.2903,                  1.138,                 1.2439,                 0.5985,                0.43111,                0.48878,                0.22809,                0.55966,                0.39037,                0.41651,                0.15206,                 1.7724,                 2.4972,                 1.4008,                  1.228,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.5012,                 2.3099,                 1.1292,                 1.2549,                0.53954,                0.47407,                0.50769,                0.24634,                0.55616,                0.40148,                0.44037,                0.17833,                 1.7383,                 2.5575,                 1.2704,                 1.2209,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.4793,                 2.2286,                 1.1115,                 1.2203,                0.54836,                   0.48,                0.50705,                0.24158,                0.51479,                0.39688,                  0.417,                0.16039,                 1.7364,                 2.5827,                 1.3196,                 1.2223,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.4623,                 2.2384,                 1.1123,                 1.2236,                0.55822,                0.50543,                0.53764,                 0.2474,                0.54764,                0.41852,                0.45599,                0.16915,                 1.7406,                 2.5101,                 1.2626,                 1.2203,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.4629,                 2.2508,                  1.096,                 1.2366,                0.63637,                0.40667,                  0.432,                0.21048,                0.59744,                0.37185,                 0.3867,                0.15228,                 1.7862,                 2.6922,                 1.3469,                 1.2308,               0.001472,               0.001472,               0.001472
                     82,                 1.4815,                 2.2092,                 1.0954,                 1.2264,                0.56784,                0.44772,                0.49818,                0.23549,                0.56165,                0.40519,                0.44006,                 0.1736,                  1.753,                 2.5099,                 1.2944,                 1.2133,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.4756,                 2.2195,                 1.0956,                 1.2336,                0.56152,                0.42667,                0.46982,                0.22712,                0.55033,                0.36815,                   0.41,                0.16804,                 1.7283,                  2.536,                 1.3467,                 1.2224,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.4868,                  2.267,                 1.1032,                 1.2356,                0.61585,                0.43556,                0.48023,                 0.2312,                0.55885,                0.39704,                0.43307,                0.17407,                 1.7179,                 2.7527,                 1.3561,                  1.216,              0.0014522,              0.0014522,              0.0014522
                     85,                  1.475,                 2.2026,                 1.0934,                 1.2143,                0.59536,                0.41634,                0.47775,                0.22789,                0.57945,                0.36296,                0.40812,                0.16005,                 1.7615,                 2.4693,                  1.326,                 1.2325,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.4619,                 2.2334,                 1.0903,                 1.2302,                 0.5766,                0.45037,                0.48639,                0.23765,                0.59744,                0.38036,                0.43416,                0.17233,                 1.6907,                 2.5225,                 1.3265,                 1.2044,               0.001439,               0.001439,               0.001439
                     87,                 1.4746,                 2.2639,                 1.0918,                 1.2352,                0.60977,                0.44296,                0.49882,                0.23878,                 0.5872,                0.40741,                0.45308,                0.17773,                 1.7181,                 2.4876,                  1.284,                 1.2096,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.4349,                 2.2396,                 1.0687,                 1.2144,                 0.5617,                 0.4623,                0.50529,                0.24792,                0.59378,                0.38741,                0.45242,                0.18452,                 1.6896,                 2.5279,                 1.2672,                  1.207,              0.0014258,              0.0014258,              0.0014258
                     89,                  1.447,                 2.2221,                 1.1028,                 1.2256,                0.63471,                0.41481,                0.44609,                 0.2208,                0.63297,                0.37556,                0.40576,                0.16954,                 1.7323,                 2.5259,                 1.3671,                 1.2145,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.4525,                 2.3317,                 1.0952,                 1.2221,                0.62372,                0.41009,                0.45727,                0.22889,                 0.5829,                0.38519,                 0.4163,                0.17472,                 1.7593,                 2.9697,                 1.3719,                 1.2223,              0.0014126,              0.0014126,              0.0014126
                     91,                  1.438,                 2.2438,                 1.0852,                 1.2177,                0.60133,                0.41556,                0.48144,                0.22614,                0.60604,                0.34755,                0.41174,                0.16033,                 1.7637,                 3.0194,                 1.3517,                 1.2373,               0.001406,               0.001406,               0.001406
                     92,                 1.4301,                 2.2633,                 1.0746,                 1.2082,                0.57436,                 0.4437,                0.49187,                0.23735,                0.57652,                0.37704,                0.41753,                0.16931,                 1.7557,                 3.0286,                 1.3312,                 1.2388,              0.0013994,              0.0013994,              0.0013994
                     93,                  1.458,                 2.2521,                 1.1053,                 1.2279,                0.65057,                0.43481,                0.52886,                0.25705,                0.63705,                0.39556,                0.47887,                0.18932,                 1.6908,                 2.4311,                 1.2519,                 1.1989,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.4698,                 2.2183,                 1.0963,                 1.2118,                0.62725,                0.46074,                0.53912,                0.25694,                0.58656,                0.41616,                0.46472,                0.18045,                 1.7198,                 2.4469,                  1.227,                 1.2092,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.4641,                 2.2997,                  1.114,                 1.2318,                0.56495,                0.51407,                0.53225,                0.24748,                0.54312,                0.45333,                0.45932,                0.16746,                 1.7268,                 2.8417,                 1.2739,                 1.2132,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.4383,                 2.1821,                 1.0598,                  1.215,                0.59147,                0.45556,                  0.532,                0.26225,                0.57759,                0.39852,                0.45797,                0.17818,                 1.7211,                 2.5311,                 1.2685,                 1.2018,               0.001373,               0.001373,               0.001373
                     97,                 1.4394,                 2.1923,                 1.0902,                 1.2141,                0.57847,                 0.4637,                 0.5237,                 0.2574,                0.56464,                0.42593,                0.47188,                0.19063,                 1.6749,                 2.4744,                 1.2602,                 1.1913,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.4478,                 2.2274,                 1.0915,                  1.209,                0.55849,                   0.52,                0.54645,                0.25903,                0.51126,                0.47778,                0.48442,                0.18355,                 1.7403,                 2.3733,                 1.2792,                 1.2249,              0.0013598,              0.0013598,              0.0013598
                     99,                  1.427,                 2.2113,                 1.0744,                 1.2231,                0.65615,                0.41259,                0.47356,                0.23661,                0.63287,                0.39037,                0.43358,                0.17751,                 1.7208,                 2.7301,                 1.3154,                 1.2167,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.4544,                 2.1904,                 1.0805,                 1.2168,                0.62367,                0.41983,                0.49373,                0.24311,                0.59303,                 0.3837,                0.43505,                0.17197,                 1.7241,                 3.0469,                 1.2935,                 1.2033,              0.0013466,              0.0013466,              0.0013466
